Date,IBOV,ITSA3,txIBOV,txITSA3
2019-01-02,91012.0,13.720000267028809,,
2019-01-03,91564.0,14.0,0.006046815374878263,0.020202687854778384
2019-01-04,91841.0,14.069999694824219,0.003020639683960612,0.00498751982121776
2019-01-07,91699.0,13.880000114440918,-0.0015473469361702871,-0.013595886112795176
2019-01-08,92032.0,13.9399995803833,0.0036248685809778846,0.004313411907067642
2019-01-09,93613.0,14.210000038146973,0.01703292006973962,0.019183569562776226
2019-01-10,93806.0,14.300000190734863,0.002059557123044007,0.006313605810438628
2019-01-11,93658.0,14.319999694824219,-0.00157897015692404,0.0013975896173775855
2019-01-14,94474.0,14.270000457763672,0.008674814674350386,-0.0034976766538531994
2019-01-15,94056.0,14.199999809265137,-0.004434314803296616,-0.004917512392305799
2019-01-16,94393.0,14.140000343322754,0.003576568294206334,-0.004234266426504614
2019-01-17,95351.0,14.15999984741211,0.010097901808765911,0.001413392740915004
2019-01-18,96097.0,14.520000457763672,0.007793278338769063,0.025105963433480656
2019-01-21,96010.0,14.369999885559082,-0.0009057452976488647,-0.010384348796017056
2019-01-22,95103.0,14.34000015258789,-0.009491837914419312,-0.002089846314864324
2019-01-23,96558.0,14.430000305175781,0.01518334926929968,0.006256548122290224
2019-01-24,97677.0,14.539999961853027,0.011522252735684416,0.00759407554730301
2019-01-28,95444.0,14.899999618530273,-0.023126428740318766,0.02445771786763289
2019-01-29,95639.0,15.020000457763672,0.002040998599480099,0.00802148946351238
2019-01-30,96996.0,15.279999732971191,0.01408905388044904,0.017162089449736406
2019-01-31,97394.0,15.5,0.0040948665686121105,0.014295257662533955
2019-02-01,97861.0,15.550000190734863,0.0047834973801939035,0.003220626965949721
2019-02-04,98589.0,15.880000114440918,0.0074115890304623155,0.020999812134445975
2019-02-05,98311.0,15.789999961853027,-0.002823770286678802,-0.005683637173940227
2019-02-06,94636.0,15.369999885559082,-0.03809796988225513,-0.026959275746884937
2019-02-07,94406.0,15.109999656677246,-0.0024333228963614134,-0.017060796541682258
2019-02-08,95343.0,15.600000381469727,0.009876285158969992,0.03191418514558952
2019-02-11,94413.0,15.770000457763672,-0.009802140078197314,0.010838491293767719
2019-02-12,96168.0,15.920000076293945,0.0184178864674997,0.009466755206123837
2019-02-13,95842.0,16.450000762939453,-0.003395659739027469,0.03274933838210778
2019-02-14,98015.0,16.469999313354492,0.022419525919461884,0.0012149789081896186
2019-02-15,97526.0,16.06999969482422,-0.005001519061155366,-0.024586341739849842
2019-02-18,96510.0,16.010000228881836,-0.010472379202187692,-0.0037406194542148295
2019-02-19,97659.0,16.25,0.01183518905524539,0.014879367470943558
2019-02-20,96545.0,16.56999969482422,-0.011472598079787955,0.019500904245357373
2019-02-21,96932.0,16.360000610351562,0.004000480843965153,-0.012754444538950756
2019-02-22,97886.0,15.680000305175781,0.009793834507732958,-0.042453334097150304
2019-02-25,97240.0,15.40999984741211,-0.006621386798277556,-0.01736939495485316
2019-02-26,97603.0,15.210000038146973,0.003726081203648639,-0.013063530650928848
2019-02-27,97307.0,15.300000190734863,-0.0030373016013023513,0.005899732085499947
2019-02-28,95584.0,15.0,-0.017865487016569617,-0.01980263976251052
2019-03-01,94604.0,14.970000267028809,-0.010305683571682912,-0.002001984833077442
2019-03-07,94340.0,14.970000267028809,-0.002794480605900761,0.0
2019-03-08,95365.0,15.020000457763672,0.010806356972274443,0.003334460543797799
2019-03-11,98027.0,15.140000343322754,0.027531316100296854,0.007957593872908017
2019-03-12,97828.0,15.25,-0.0020321162950224943,0.007239232367582302
2019-03-13,98904.0,15.220000267028809,0.010938848070961698,-0.0019691330752812336
2019-03-14,98605.0,15.010000228881836,-0.003027712442593592,-0.01389370908414563
2019-03-15,99137.0,15.180000305175781,0.0053807616344980855,0.011262131177296335
2019-03-18,99994.0,15.270000457763672,0.008607452291488965,0.00591135713722505
2019-03-19,99588.0,15.229999542236328,-0.004068508783708131,-0.0026230123581538548
2019-03-20,98041.0,15.270000457763672,-0.01565591687801762,0.0026230123581537975
2019-03-21,96729.0,15.279999732971191,-0.013472504439654257,0.0006546170541516293
2019-03-22,93735.0,14.720000267028809,-0.03144160203748466,-0.03733763482139278
2019-03-25,93662.0,14.760000228881836,-0.0007790946887358406,0.00271370323795161
2019-03-26,95307.0,14.75,0.017410702858286258,-0.0006777518933968997
2019-03-27,91903.0,14.350000381469727,-0.03636958721141853,-0.027493113996942854
2019-03-28,94389.0,14.699999809265137,0.0266908679308249,0.024097512020643738
2019-03-29,95415.0,14.65999984741211,0.010811257860765724,-0.002724794759475359
2019-04-01,96054.0,14.289999961853027,0.006674734525135079,-0.02556269677776566
2019-04-02,95387.0,14.119999885559082,-0.006968232498961407,-0.011967765312073721
2019-04-03,94491.0,13.800000190734863,-0.009437708956027363,-0.02292361797568932
2019-04-04,96313.0,13.899999618530273,0.019098712631969206,0.007220206708254736
2019-04-05,97108.0,13.899999618530273,0.008220456691867873,0.0
2019-04-08,97369.0,13.949999809265137,0.0026841236413384824,0.0035906819018440145
2019-04-09,96292.0,13.65999984741211,-0.01112264320886587,-0.021007651622397108
2019-04-10,95953.0,13.569999694824219,-0.003526753375881005,-0.0066103916144536114
2019-04-11,94755.0,13.489999771118164,-0.012563875230678666,-0.005912798104887399
2019-04-12,92875.0,13.300000190734863,-0.02004010998085016,-0.01418460368421117
2019-04-15,93083.0,13.649999618530273,0.0022370652162743655,0.025975444115793004
2019-04-16,94333.0,13.510000228881836,0.013339507145782636,-0.010309324770700243
